"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers - mean_hourly"",""Conf %"",""Male Part Time Workers - mean_hourly"",""Conf %"",""Female Full Time Workers - mean_hourly"",""Conf %"",""Female Part Time Workers - mean_hourly"",""Conf %"",""Full Time Workers - mean_hourly"",""Conf %"",""Part Time Workers - mean_hourly"",""Conf %"""
"Barking and Dagenham,""E09000002"",15.30,4.1,11.61,11.0,15.41,5.2,11.89,6.7,15.34,3.2,11.80,5.7"
"Barnet,""E09000003"",23.42,4.6,13.19,8.5,19.82,5.8,15.08,7.1,21.87,3.6,14.46,5.6"
"Bexley,""E09000004"",20.88,4.9,15.40,11.0,17.05,3.6,14.13,8.1,19.21,3.3,14.44,6.6"
"Brent,""E09000005"",18.38,4.1,12.60,13.0,17.12,5.0,13.26,8.2,17.89,3.2,13.03,6.9"
"Bromley,""E09000006"",26.17,4.6,18.05,15.0,20.60,3.8,17.52,14.0,23.60,3.2,17.64,11.0"
"Camden,""E09000007"",30.20,6.5,15.00,16.0,22.46,6.6,14.58,7.6,26.99,4.9,14.76,8.1"
"City of London,""E09000001"",33.43,12.0,""!"",""!"",18.45,12.0,""!"",""!"",28.29,11.0,""#"",""#"""
"Croydon,""E09000008"",20.85,4.0,13.39,9.0,17.60,2.9,13.58,6.0,19.46,2.7,13.51,5.0"
"Ealing,""E09000009"",21.54,4.8,15.91,13.0,18.43,5.0,14.09,6.5,20.23,3.5,14.76,6.5"
"Enfield,""E09000010"",19.02,4.5,10.35,15.0,17.38,4.8,12.91,6.1,18.33,3.3,11.88,6.7"
"Greenwich,""E09000011"",23.25,8.5,13.99,12.0,20.13,5.6,13.38,6.4,21.98,5.8,13.55,5.7"
"Hackney,""E09000012"",21.63,6.2,12.25,12.0,19.67,4.6,14.07,7.2,20.76,4.1,13.28,6.6"
"Hammersmith and Fulham,""E09000013"",30.81,8.8,18.42,19.0,21.84,5.1,15.17,13.0,26.75,5.9,16.29,11.0"
"Haringey,""E09000014"",22.55,5.4,15.23,15.0,18.49,3.9,14.32,6.3,20.73,3.7,14.64,6.7"
"Harrow,""E09000015"",21.20,4.7,""#"",""#"",19.04,5.5,16.47,9.9,20.32,3.6,16.48,14.0"
"Havering,""E09000016"",21.16,4.7,15.35,20.0,18.01,5.0,14.30,6.0,19.92,3.6,14.56,6.9"
"Hillingdon,""E09000017"",17.82,3.2,12.29,9.0,16.84,4.0,14.63,9.0,17.42,2.5,13.97,7.2"
"Hounslow,""E09000018"",19.97,3.9,12.01,13.0,16.77,4.0,11.90,5.4,18.70,2.9,11.93,5.5"
"Islington,""E09000019"",26.39,4.8,18.59,15.0,24.28,5.2,16.34,8.6,25.44,3.5,17.16,8.0"
"Kensington and Chelsea,""E09000020"",45.33,14.0,""#"",""#"",26.18,7.3,18.46,13.0,37.58,10.0,21.05,14.0"
"Kingston upon Thames,""E09000021"",25.97,5.8,18.45,18.0,18.47,4.2,12.99,7.2,22.74,4.2,14.99,9.6"
"Lambeth,""E09000022"",23.40,4.2,17.45,17.0,19.40,3.0,13.20,11.0,21.69,2.9,14.76,9.7"
"Lewisham,""E09000023"",20.98,4.5,""#"",""#"",18.56,3.7,14.56,6.0,19.83,3.0,15.10,9.0"
"Merton,""E09000024"",24.70,5.6,""#"",""#"",21.84,5.4,14.02,9.2,23.55,4.1,14.36,11.0"
"Newham,""E09000025"",17.46,3.2,11.01,5.3,15.51,3.7,10.17,4.0,16.71,2.5,10.63,3.5"
"Redbridge,""E09000026"",21.96,4.9,11.88,12.0,17.85,4.8,12.74,5.9,20.34,3.6,12.46,5.4"
"Richmond upon Thames,""E09000027"",32.85,7.3,16.05,12.0,22.11,6.6,16.99,9.0,28.40,5.5,16.86,8.0"
"Southwark,""E09000028"",22.25,4.4,12.48,7.3,20.35,3.5,14.90,6.4,21.36,2.9,14.11,5.1"
"Sutton,""E09000029"",21.33,4.6,12.51,9.6,18.66,5.4,13.98,6.8,20.27,3.5,13.59,5.7"
"Tower Hamlets,""E09000030"",26.05,4.9,12.82,13.0,22.04,4.1,12.61,6.3,24.37,3.5,12.73,8.0"
"Waltham Forest,""E09000031"",19.60,4.2,14.07,12.0,17.37,4.2,13.25,5.6,18.70,3.1,13.49,5.4"
"Wandsworth,""E09000032"",29.89,4.5,17.65,16.0,23.77,3.5,16.47,9.1,26.99,3.0,16.89,8.1"
"Westminster,""E09000033"",33.28,7.8,""#"",""#"",28.97,7.6,14.10,9.8,31.47,5.6,14.95,13.0"