"local authority: district / unitary (as of April 2021),""mnemonic"",""Numerator"",""Denominator"",""% in employment who are employees - aged 16+"",""Conf"",""Numerator"",""Denominator"",""% in employment who are self employed - aged 16+"",""Conf"""
"Barking and Dagenham,""E09000002"",78400,95300,82.3,4.2,16600,95300,17.5,4.1"
"Barnet,""E09000003"",141800,192300,73.7,4.6,49900,192300,26.0,4.5"
"Bexley,""E09000004"",105000,123800,84.8,3.5,17800,123800,14.4,3.5"
"Brent,""E09000005"",120800,160900,75.1,4.5,40100,160900,24.9,4.5"
"Bromley,""E09000006"",136700,163500,83.6,3.8,26800,163500,16.4,3.8"
"Camden,""E09000007"",106400,138200,77.0,4.6,30100,138200,21.8,4.5"
"City of London,""E09000001"",5000,6400,78.4,""*"",""!"",6400,""!"",""!"""
"Croydon,""E09000008"",167300,200800,83.3,3.7,29800,200800,14.8,3.5"
"Ealing,""E09000009"",143600,171200,83.9,4.7,26200,171200,15.3,4.6"
"Enfield,""E09000010"",125400,156900,79.9,4.4,29800,156900,19.0,4.3"
"Greenwich,""E09000011"",119400,142000,84.1,3.9,21300,142000,15.0,3.8"
"Hackney,""E09000012"",114800,143800,79.9,4.3,28600,143800,19.9,4.2"
"Hammersmith and Fulham,""E09000013"",84900,100000,84.9,4.0,15100,100000,15.1,4.0"
"Haringey,""E09000014"",114300,148800,76.8,4.1,34600,148800,23.2,4.1"
"Harrow,""E09000015"",97500,125800,77.5,4.0,27400,125800,21.8,4.0"
"Havering,""E09000016"",108000,131800,81.9,3.7,22700,131800,17.3,3.6"
"Hillingdon,""E09000017"",129400,153100,84.5,3.6,23400,153100,15.3,3.6"
"Hounslow,""E09000018"",122500,143000,85.7,4.6,20500,143000,14.3,4.6"
"Islington,""E09000019"",111100,139900,79.4,4.5,28800,139900,20.6,4.5"
"Kensington and Chelsea,""E09000020"",46300,68100,68.0,5.5,20000,68100,29.4,5.4"
"Kingston upon Thames,""E09000021"",71900,89800,80.1,4.3,17900,89800,19.9,4.3"
"Lambeth,""E09000022"",163000,191000,85.3,3.8,24200,191000,12.6,3.6"
"Lewisham,""E09000023"",145500,169900,85.6,3.6,23800,169900,14.0,3.5"
"Merton,""E09000024"",95200,116700,81.6,4.1,20500,116700,17.6,4.0"
"Newham,""E09000025"",134400,172100,78.1,4.9,37700,172100,21.9,4.9"
"Redbridge,""E09000026"",117000,141700,82.6,3.6,24600,141700,17.4,3.6"
"Richmond upon Thames,""E09000027"",71200,104700,67.9,4.9,33300,104700,31.8,4.9"
"Southwark,""E09000028"",149900,185700,80.7,3.9,34000,185700,18.3,3.8"
"Sutton,""E09000029"",85700,107000,80.1,4.0,21100,107000,19.7,4.0"
"Tower Hamlets,""E09000030"",141300,168400,83.9,4.4,26400,168400,15.7,4.3"
"Waltham Forest,""E09000031"",120500,150200,80.2,4.3,29700,150200,19.8,4.3"
"Wandsworth,""E09000032"",154700,193300,80.1,4.2,37900,193300,19.6,4.1"
"Westminster,""E09000033"",96000,123700,77.6,4.8,27000,123700,21.8,4.8"