"local authority: district / unitary (as of April 2021),""mnemonic"",""Numerator"",""Denominator"",""% in employment working full-time - aged 16-19"",""Conf"",""Numerator"",""Denominator"",""% in employment working full-time - aged 20-24"",""Conf"",""Numerator"",""Denominator"",""% in employment working full-time - aged 25-49"",""Conf"",""Numerator"",""Denominator"",""% in employment working full-time - aged 50+"",""Conf"""
"Barking and Dagenham,""E09000002"",1200,2200,53.1,""*"",3800,5600,68.6,24.3,50300,65500,76.8,5.6,17000,22000,77.1,9.2"
"Barnet,""E09000003"",""!"",2500,""!"",""!"",9500,13500,70.2,22.4,91200,110000,82.9,5.3,43000,66200,65.0,7.9"
"Bexley,""E09000004"",1700,4800,34.8,""*"",5400,7400,73.5,19.3,58800,75600,77.7,5.3,23100,36000,64.2,8.4"
"Brent,""E09000005"",1100,3000,35.2,""*"",11200,14000,80.3,16.3,80700,100900,80.0,5.3,33600,43100,77.9,7.7"
"Bromley,""E09000006"",1800,4100,43.5,""*"",10300,14200,72.2,17.2,77000,95600,80.5,5.3,37700,49600,76.0,7.7"
"Camden,""E09000007"",1200,2000,63.4,""*"",10100,12600,80.0,15.4,70000,85400,81.9,5.7,22500,38200,58.9,9.2"
"City of London,""E09000001"",""!"",""!"",""!"",-,""!"",""!"",""!"",-,""#"",""#"",100.0,-,""#"",""#"",100.0,-"
"Croydon,""E09000008"",""!"",6600,""!"",""!"",6900,12300,55.7,23.6,97400,125400,77.7,5.3,42300,56500,74.9,7.7"
"Ealing,""E09000009"",""!"",2700,""!"",""!"",3600,5300,67.8,""*"",92100,111600,82.5,6.1,39600,51600,76.8,9.4"
"Enfield,""E09000010"",""!"",2900,""!"",""!"",6600,10900,61.1,23.9,70500,89700,78.6,6.1,35900,53400,67.2,8.4"
"Greenwich,""E09000011"",""!"",1700,""!"",""!"",6300,7300,86.8,18.4,79500,96400,82.4,5.0,26300,36500,71.9,9.1"
"Hackney,""E09000012"",""!"",2700,""!"",""!"",8900,12800,69.1,19.3,77500,97800,79.3,5.4,20000,30500,65.5,9.8"
"Hammersmith and Fulham,""E09000013"",""!"",""!"",""!"",""!"",4400,5900,73.5,20.4,61900,74800,82.7,5.2,14500,18900,76.3,9.6"
"Haringey,""E09000014"",""!"",2000,""!"",""!"",6100,10600,57.3,22.2,83400,102600,81.2,4.8,21000,33600,62.6,8.6"
"Harrow,""E09000015"",""!"",1600,""!"",""!"",8200,11400,72.2,16.9,60300,76700,78.6,5.1,25600,36100,71.0,7.6"
"Havering,""E09000016"",1800,4300,42.1,""*"",11900,14700,81.4,12.9,56700,74100,76.6,5.5,23800,38700,61.3,8.2"
"Hillingdon,""E09000017"",""!"",2100,""!"",""!"",9300,12800,72.3,19.1,82200,97900,84.0,4.7,28900,40300,71.7,8.2"
"Hounslow,""E09000018"",3000,4100,73.7,""*"",""!"",3100,""!"",""!"",89300,101800,87.7,5.3,25600,34000,75.2,10.5"
"Islington,""E09000019"",""!"",2800,""!"",""!"",7500,8000,94.4,11.3,88900,104100,85.4,4.7,15900,25000,63.7,10.9"
"Kensington and Chelsea,""E09000020"",""!"",""!"",""!"",""!"",1600,2800,57.9,""*"",33800,40800,82.8,6.2,14200,24000,59.1,8.8"
"Kingston upon Thames,""E09000021"",""!"",1400,""!"",""!"",3400,4500,74.2,""*"",45300,59700,75.9,5.8,17000,24200,70.3,8.8"
"Lambeth,""E09000022"",1800,4700,38.0,""*"",14300,17500,81.2,17.1,109200,132300,82.5,5.0,22700,36500,62.2,11.0"
"Lewisham,""E09000023"",1300,3200,40.4,""*"",7000,10100,69.2,21.3,104600,125600,83.3,4.5,23300,31000,75.2,9.7"
"Merton,""E09000024"",""!"",2100,""!"",""!"",8300,9800,85.3,15.1,57700,71200,81.1,5.4,25000,33600,74.2,8.2"
"Newham,""E09000025"",""!"",1900,""!"",""!"",9900,20200,49.1,18.9,106600,122500,87.0,4.9,19500,27400,71.2,12.0"
"Redbridge,""E09000026"",""!"",2100,""!"",""!"",12500,15000,83.6,12.5,78000,92400,84.5,4.3,22100,32200,68.7,8.7"
"Richmond upon Thames,""E09000027"",""!"",800,""!"",""!"",3100,5200,59.3,""*"",49400,61400,80.4,5.5,23500,37200,63.2,8.4"
"Southwark,""E09000028"",""!"",""!"",""!"",-,13700,17600,77.8,15.4,109700,129900,84.5,4.3,25200,37700,66.9,9.6"
"Sutton,""E09000029"",1100,2300,45.1,""*"",6400,7200,89.4,14.2,56800,68400,83.0,4.8,20500,29000,70.6,8.4"
"Tower Hamlets,""E09000030"",""!"",""!"",""!"",-,14400,17900,80.2,15.6,110400,133600,82.7,5.1,10500,15800,66.4,15.7"
"Waltham Forest,""E09000031"",2200,3500,64.6,""*"",4000,6100,66.3,""*"",88400,106400,83.0,4.9,22900,34300,66.9,9.9"
"Wandsworth,""E09000032"",""!"",2600,""!"",""!"",5900,8600,68.7,24.3,122200,140900,86.7,4.2,30600,41100,74.5,9.2"
"Westminster,""E09000033"",""!"",""!"",""!"",-,4200,4900,86.3,19.4,79300,90800,87.4,4.7,18900,28000,67.5,10.1"