"local authority: district / unitary (as of April 2021),""mnemonic"",""Numerator"",""Denominator"",""% in employment working part-time - aged 16-19"",""Conf"",""Numerator"",""Denominator"",""% in employment working part-time - aged 20-24"",""Conf"",""Numerator"",""Denominator"",""% in employment working part-time - aged 25-49"",""Conf"",""Numerator"",""Denominator"",""% in employment working part-time - aged 50+"",""Conf"""
"Barking and Dagenham,""E09000002"",1000,2200,46.9,""*"",1700,5600,31.4,""*"",14800,65500,22.6,5.6,5100,22000,22.9,9.2"
"Barnet,""E09000003"",1700,2500,65.4,""*"",4000,13500,29.8,""*"",18800,110000,17.1,5.3,22700,66200,34.2,7.9"
"Bexley,""E09000004"",3100,4800,65.2,""*"",1600,7400,21.5,""*"",16800,75600,22.3,5.3,12600,36000,35.0,8.3"
"Brent,""E09000005"",1900,3000,64.8,""*"",2700,14000,19.7,""*"",20200,100900,20.0,5.3,9500,43100,22.1,7.7"
"Bromley,""E09000006"",2300,4100,56.5,""*"",4000,14200,27.8,""*"",18600,95600,19.5,5.3,11900,49600,24.0,7.7"
"Camden,""E09000007"",""!"",2000,""!"",""!"",2500,12600,20.0,""*"",15400,85400,18.1,5.7,15700,38200,41.1,9.2"
"City of London,""E09000001"",""!"",""!"",""!"",-,""!"",""!"",""!"",-,""!"",""#"",""!"",""!"",""!"",""#"",""!"",""!"""
"Croydon,""E09000008"",6200,6600,94.3,12.6,5500,12300,44.3,""*"",28000,125400,22.3,5.3,14200,56500,25.1,7.7"
"Ealing,""E09000009"",2000,2700,75.3,""*"",""!"",5300,""!"",""!"",19000,111600,17.0,6.0,12000,51600,23.2,9.4"
"Enfield,""E09000010"",2000,2900,67.5,""*"",4200,10900,38.9,""*"",18700,89700,20.9,6.0,17500,53400,32.8,8.4"
"Greenwich,""E09000011"",""!"",1700,""!"",""!"",""!"",7300,""!"",""!"",15700,96400,16.3,4.9,10300,36500,28.1,9.1"
"Hackney,""E09000012"",1900,2700,71.4,""*"",4000,12800,30.9,""*"",20000,97800,20.4,5.3,10000,30500,32.8,9.7"
"Hammersmith and Fulham,""E09000013"",""!"",""!"",""!"",-,1600,5900,26.5,""*"",12800,74800,17.1,5.1,4200,18900,22.3,9.4"
"Haringey,""E09000014"",1700,2000,84.6,""*"",4500,10600,42.7,""*"",19200,102600,18.8,4.8,12500,33600,37.4,8.6"
"Harrow,""E09000015"",1400,1600,86.7,""*"",3200,11400,27.8,""*"",16400,76700,21.4,5.1,10200,36100,28.3,7.6"
"Havering,""E09000016"",2200,4300,50.0,""*"",2700,14700,18.6,""*"",17300,74100,23.4,5.5,15000,38700,38.7,8.2"
"Hillingdon,""E09000017"",2100,2100,100.0,-,3600,12800,27.7,""*"",15300,97900,15.6,4.7,11400,40300,28.3,8.2"
"Hounslow,""E09000018"",""!"",4100,""!"",""!"",""!"",3100,""!"",""!"",12500,101800,12.3,5.3,8400,34000,24.8,10.5"
"Islington,""E09000019"",2400,2800,86.5,""*"",""!"",8000,""!"",""!"",15200,104100,14.6,4.7,8800,25000,35.3,10.8"
"Kensington and Chelsea,""E09000020"",""!"",""!"",""!"",-,1200,2800,42.1,""*"",7000,40800,17.2,6.2,9200,24000,38.5,8.7"
"Kingston upon Thames,""E09000021"",1100,1400,81.1,""*"",1200,4500,25.8,""*"",14100,59700,23.7,5.7,6900,24200,28.6,8.7"
"Lambeth,""E09000022"",2900,4700,62.0,""*"",3300,17500,18.8,""*"",23200,132300,17.5,5.0,13800,36500,37.8,11.0"
"Lewisham,""E09000023"",1900,3200,59.6,""*"",3100,10100,30.8,""*"",21000,125600,16.7,4.5,7700,31000,24.8,9.7"
"Merton,""E09000024"",1800,2100,86.6,""*"",1400,9800,14.7,""*"",13000,71200,18.3,5.3,8700,33600,25.8,8.2"
"Newham,""E09000025"",""!"",1900,""!"",""!"",10300,20200,50.9,18.9,15900,122500,13.0,4.9,7900,27400,28.8,12.0"
"Redbridge,""E09000026"",1600,2100,76.2,""*"",2500,15000,16.4,""*"",13700,92400,14.8,4.2,10100,32200,31.3,8.7"
"Richmond upon Thames,""E09000027"",800,800,100.0,-,2100,5200,40.7,""*"",11700,61400,19.1,5.5,13200,37200,35.5,8.3"
"Southwark,""E09000028"",""!"",""!"",""!"",""!"",3900,17600,22.2,""*"",18700,129900,14.4,4.1,12500,37700,33.1,9.6"
"Sutton,""E09000029"",1300,2300,54.9,""*"",""!"",7200,""!"",""!"",11400,68400,16.6,4.7,8500,29000,29.4,8.4"
"Tower Hamlets,""E09000030"",""!"",""!"",""!"",""!"",3600,17900,19.8,""*"",22500,133600,16.8,5.1,5300,15800,33.6,15.7"
"Waltham Forest,""E09000031"",1200,3500,35.4,""*"",2000,6100,33.7,""*"",18100,106400,17.0,4.9,11000,34300,32.0,9.8"
"Wandsworth,""E09000032"",2000,2600,76.4,""*"",2700,8600,31.3,""*"",18100,140900,12.8,4.2,10500,41100,25.5,9.2"
"Westminster,""E09000033"",""!"",""!"",""!"",-,""!"",4900,""!"",""!"",11400,90800,12.6,4.7,9100,28000,32.5,10.1"