"local authority: district / unitary (as of April 2021),""mnemonic"",""Numerator"",""Denominator"",""% with NVQ4+ - aged 16-64"",""Conf"",""Numerator"",""Denominator"",""% with NVQ3 only - aged 16-64"",""Conf"",""Numerator"",""Denominator"",""% with NVQ2 only - aged 16-64"",""Conf"",""Numerator"",""Denominator"",""% with NVQ1 only - aged 16-64"",""Conf"",""Numerator"",""Denominator"",""% with other qualifications (NVQ) - aged 16-64"",""Conf"",""Numerator"",""Denominator"",""% with no qualifications (NVQ) - aged 16-64"",""Conf"""
"Barking and Dagenham,""E09000002"",44700,135400,33.0,6.8,18400,135400,13.6,5.0,25700,135400,19.0,5.7,16900,135400,12.5,4.8,16900,135400,12.5,4.8,11000,135400,8.2,4.0"
"Barnet,""E09000003"",130700,253700,51.5,7.1,38600,253700,15.2,5.1,33200,253700,13.1,4.8,11500,253700,4.5,3.0,22700,253700,9.0,4.1,15700,253700,6.2,3.4"
"Bexley,""E09000004"",65700,156300,42.0,6.9,22200,156300,14.2,4.9,28000,156300,17.9,5.4,18100,156300,11.6,4.5,9400,156300,6.0,3.3,6900,156300,4.4,2.9"
"Brent,""E09000005"",88600,219700,40.3,6.8,33900,219700,15.4,5.0,42100,219700,19.2,5.5,14400,219700,6.6,3.4,22200,219700,10.1,4.2,14500,219700,6.6,3.4"
"Bromley,""E09000006"",102100,205900,49.6,7.2,34200,205900,16.6,5.4,29800,205900,14.5,5.1,10500,205900,5.1,3.2,18300,205900,8.9,4.1,7200,205900,3.5,2.7"
"Camden,""E09000007"",116400,181100,64.3,7.2,17900,181100,9.9,4.5,13600,181100,7.5,3.9,12400,181100,6.8,3.8,9200,181100,5.1,3.3,10900,181100,6.0,3.6"
"City of London,""E09000001"",7500,7500,100.0,-,""!"",7500,""!"",""!"",""!"",7500,""!"",""!"",""!"",7500,""!"",""!"",""!"",7500,""!"",""!"",""!"",7500,""!"",""!"""
"Croydon,""E09000008"",119200,250200,47.6,7.0,38300,250200,15.3,5.0,34900,250200,13.9,4.8,18000,250200,7.2,3.6,17100,250200,6.8,3.5,16100,250200,6.4,3.4"
"Ealing,""E09000009"",121300,226400,53.6,8.6,29700,226400,13.1,5.8,16800,226400,7.4,4.5,12000,226400,5.3,3.9,28700,226400,12.7,5.8,16000,226400,7.0,4.4"
"Enfield,""E09000010"",87400,214300,40.8,7.3,35400,214300,16.5,5.5,20200,214300,9.4,4.4,22400,214300,10.5,4.6,23000,214300,10.7,4.6,22000,214300,10.3,4.5"
"Greenwich,""E09000011"",100100,194400,51.5,7.3,23200,194400,12.0,4.7,24600,194400,12.6,4.9,16300,194400,8.4,4.1,14100,194400,7.3,3.8,12300,194400,6.3,3.6"
"Hackney,""E09000012"",108200,202600,53.4,7.0,23800,202600,11.7,4.5,17400,202600,8.6,3.9,14000,202600,6.9,3.6,14100,202600,6.9,3.6,24600,202600,12.1,4.6"
"Hammersmith and Fulham,""E09000013"",79800,126500,63.1,7.5,12800,126500,10.1,4.7,8300,126500,6.6,3.8,6800,126500,5.4,3.5,10400,126500,8.2,4.3,8400,126500,6.6,3.9"
"Haringey,""E09000014"",105600,196700,53.7,6.6,21600,196700,11.0,4.1,17700,196700,9.0,3.8,9100,196700,4.6,2.8,24700,196700,12.6,4.4,16900,196700,8.6,3.7"
"Harrow,""E09000015"",71400,154100,46.3,6.8,29400,154100,19.1,5.4,21600,154100,14.0,4.8,6700,154100,4.4,2.8,16200,154100,10.5,4.2,7500,154100,4.9,3.0"
"Havering,""E09000016"",48000,159800,30.0,6.3,26200,159800,16.4,5.1,30000,159800,18.7,5.4,25400,159800,15.9,5.0,12800,159800,8.0,3.7,14000,159800,8.8,3.9"
"Hillingdon,""E09000017"",86000,199100,43.2,6.9,26500,199100,13.3,4.7,24800,199100,12.4,4.6,18700,199100,9.4,4.1,23500,199100,11.8,4.5,18600,199100,9.3,4.0"
"Hounslow,""E09000018"",98800,181300,54.5,9.3,23600,181300,13.0,6.3,18500,181300,10.2,5.6,12400,181300,6.8,4.7,16100,181300,8.9,5.3,10900,181300,6.0,4.4"
"Islington,""E09000019"",117700,175500,67.1,7.3,16100,175500,9.2,4.5,14400,175500,8.2,4.2,9300,175500,5.3,3.5,5900,175500,3.3,2.8,11200,175500,6.4,3.8"
"Kensington and Chelsea,""E09000020"",64300,103800,62.0,7.5,11100,103800,10.7,4.8,8500,103800,8.2,4.2,7000,103800,6.7,3.9,7100,103800,6.8,3.9,5600,103800,5.4,3.5"
"Kingston upon Thames,""E09000021"",71900,119600,60.1,7.3,15500,119600,13.0,5.0,11800,119600,9.9,4.5,6300,119600,5.3,3.3,9500,119600,7.9,4.0,3500,119600,2.9,2.5"
"Lambeth,""E09000022"",150200,243600,61.7,7.3,27700,243600,11.4,4.8,20100,243600,8.3,4.1,10900,243600,4.5,3.1,18800,243600,7.7,4.0,12100,243600,5.0,3.3"
"Lewisham,""E09000023"",124200,211400,58.7,7.1,24000,211400,11.3,4.5,22700,211400,10.7,4.4,14100,211400,6.7,3.6,14500,211400,6.9,3.6,10100,211400,4.8,3.1"
"Merton,""E09000024"",73200,137700,53.2,7.7,18100,137700,13.1,5.2,15200,137700,11.0,4.8,12400,137700,9.0,4.4,10800,137700,7.9,4.2,5800,137700,4.2,3.1"
"Newham,""E09000025"",119900,245600,48.8,7.8,32500,245600,13.3,5.3,21400,245600,8.7,4.4,22700,245600,9.3,4.5,28100,245600,11.4,5.0,20200,245600,8.2,4.3"
"Redbridge,""E09000026"",92600,200600,46.2,6.3,30200,200600,15.1,4.5,29100,200600,14.5,4.4,12100,200600,6.0,3.0,18500,200600,9.2,3.6,16900,200600,8.4,3.5"
"Richmond upon Thames,""E09000027"",83600,123200,67.9,7.2,12200,123200,9.9,4.6,10500,123200,8.6,4.3,3900,123200,3.2,2.7,7700,123200,6.2,3.7,4200,123200,3.4,2.8"
"Southwark,""E09000028"",149200,230900,64.6,6.6,19000,230900,8.2,3.8,15200,230900,6.6,3.4,11600,230900,5.0,3.0,20600,230900,8.9,3.9,13200,230900,5.7,3.2"
"Sutton,""E09000029"",62100,128300,48.4,7.3,20300,128300,15.9,5.3,17600,128300,13.8,5.0,9900,128300,7.7,3.9,9700,128300,7.5,3.9,6600,128300,5.2,3.2"
"Tower Hamlets,""E09000030"",125700,229700,54.7,7.9,17500,229700,7.6,4.2,25000,229700,10.9,4.9,15800,229700,6.9,4.0,24900,229700,10.8,4.9,19700,229700,8.6,4.4"
"Waltham Forest,""E09000031"",90800,186400,48.7,7.5,23200,186400,12.4,5.0,17500,186400,9.4,4.4,17800,186400,9.5,4.4,17000,186400,9.1,4.3,16700,186400,9.0,4.3"
"Wandsworth,""E09000032"",165000,233500,70.7,6.7,16300,233500,7.0,3.8,19500,233500,8.3,4.1,9000,233500,3.8,2.8,11300,233500,4.9,3.2,8000,233500,3.4,2.7"
"Westminster,""E09000033"",115000,172500,66.7,7.3,20600,172500,11.9,5.0,11600,172500,6.7,3.9,4400,172500,2.5,2.4,8800,172500,5.1,3.4,11900,172500,6.9,3.9"