bike_station_name,station_longitude,station_latitude,number_of_bikes,number_empty_docks,number_of_docks,number_standard_bikes,number_ebikes,bike_station_id
"River Street , Clerkenwell",-0.10997,51.529163,13,6,19,9,4,1
"Phillimore Gardens, Kensington",-0.197574,51.499606,33,4,37,33,0,2
"Christopher Street, Liverpool Street",-0.084605,51.521283,0,32,32,0,0,3
"St. Chad's Street, King's Cross",-0.120973,51.530059,8,15,23,8,0,4
"Sedding Street, Sloane Square",-0.156876,51.49313,3,24,27,3,0,5
"Broadcasting House, Marylebone",-0.144228,51.518117,1,17,18,1,0,6
"Charlbert Street, St. John's Wood",-0.168074,51.5343,14,2,16,14,0,7
"Maida Vale, Maida Vale",-0.183486,51.529857,39,0,39,36,3,8
"New Globe Walk, Bankside",-0.09644,51.507385,4,15,19,4,0,9
"Park Street, Bankside",-0.092754,51.505974,5,13,18,5,0,10
"Brunswick Square, Bloomsbury",-0.122502,51.523951,3,21,24,3,0,11
"Malet Street, Bloomsbury",-0.130431,51.52168,18,31,49,18,0,12
"Scala Street, Fitzrovia",-0.136039,51.519914,1,20,21,1,0,13
"Belgrove Street , King's Cross",-0.123616,51.529943,31,17,48,31,0,14
"Great Russell Street, Bloomsbury",-0.127854,51.517727,0,26,26,0,0,15
"Cartwright Gardens , Bloomsbury",-0.125979,51.526357,3,18,21,2,1,16
"Hatton Wall, Holborn",-0.109006,51.521661,3,23,26,3,0,17
"Drury Lane, Covent Garden",-0.122219,51.51477,0,27,27,0,0,18
"Taviton Street, Bloomsbury",-0.131161,51.52505,2,28,30,0,2,19
"Drummond Street , Euston",-0.136052,51.527326,21,7,28,20,1,20
"Lansdowne Drive, Hackney Central",-0.062806,51.539834,11,15,26,9,2,21
"Northington Street , Holborn",-0.114079,51.522264,0,19,19,0,0,22
"Red Lion Square, Holborn",-0.119123,51.519435,0,16,16,0,0,23
"British Museum, Bloomsbury",-0.124678,51.51908,1,34,35,1,0,24
"Doric Way , Somers Town",-0.13225,51.528833,47,3,50,47,0,25
"Ampton Street , Clerkenwell",-0.118295,51.52728,7,14,21,7,0,26
"Bouverie Street, Temple",-0.107927,51.513821,1,32,33,0,1,27
"Bolsover Street, Fitzrovia",-0.143613,51.523518,2,17,19,1,1,28
"Hereford Road, Bayswater",-0.193487,51.513735,22,0,22,21,1,29
"Windsor Terrace, Hoxton",-0.093421,51.529154,11,13,24,11,0,30
"Fanshaw Street, Hoxton",-0.083353,51.529537,33,3,36,32,1,31
"Leonard Circus , Shoreditch",-0.084439,51.524696,2,41,43,2,0,32
"Central House, Aldgate",-0.07015,51.515231,3,15,18,3,0,33
"Pancras Road, King's Cross",-0.129386,51.534123,3,13,16,3,0,34
"De Vere Gardens, Kensington",-0.18498,51.501737,9,19,28,8,1,36
"Penywern Road, Earl's Court",-0.192369,51.491593,17,0,17,15,2,37
"Abingdon Villas, Kensington",-0.197245,51.497387,9,8,17,8,1,38
"Shoreditch High Street, Shoreditch",-0.07813,51.526377,24,17,41,23,1,39
"Commercial Street, Shoreditch",-0.075578,51.52127,1,15,16,1,0,40
"Pindar Street, Liverpool Street",-0.083493,51.520955,0,24,24,0,0,41
"Wenlock Road , Hoxton",-0.093903,51.530991,17,11,28,17,0,42
"Crawford Street, Marylebone",-0.157183,51.52026,4,14,18,4,0,43
"Bruton Street, Mayfair",-0.144165,51.510736,0,21,21,0,0,44
"Boston Place, Marylebone",-0.162298,51.522511,25,1,26,25,0,45
"Nesham Street, Wapping",-0.06691,51.507131,14,2,16,14,0,46
"Warwick Avenue Station, Maida Vale",-0.183846,51.523344,15,4,19,12,3,47
"Godliman Street, St. Paul's",-0.099141,51.512484,1,24,25,1,0,48
"Curzon Street, Mayfair",-0.145904,51.507069,0,16,16,0,0,49
"East Road, Hoxton",-0.087459,51.528673,6,21,27,6,0,50
"Finsbury Library , Finsbury",-0.104298,51.526717,6,23,29,6,0,51
"Roscoe Street, St. Luke's",-0.094934,51.522954,0,18,18,0,0,52
"Grafton Street, Mayfair",-0.143495,51.509992,0,18,18,0,0,53
"Golden Lane, Barbican",-0.094475,51.521747,2,25,27,2,0,54
"Finsbury Circus, Liverpool Street",-0.086685,51.517075,1,32,33,0,1,55
"Paddington Street, Marylebone",-0.154701,51.520583,1,15,16,1,0,56
"Guilford Street , Bloomsbury",-0.120202,51.523346,7,25,32,7,0,57
"New Inn Yard, Shoreditch",-0.079248,51.524526,1,19,20,1,0,58
"Lisson Grove, St. John's Wood",-0.17219,51.526448,4,14,18,4,0,60
"Great Dover Street, The Borough",-0.089446,51.497382,33,0,33,33,0,61
"Cotton Garden Estate, Kennington",-0.106323,51.490757,21,3,24,21,0,62
"Murray Grove , Hoxton",-0.089782,51.53089,21,6,27,18,3,63
"William IV Street, Strand",-0.124749,51.509462,1,25,26,0,1,64
"Gower Place , Euston",-0.135188,51.525227,1,16,17,1,0,65
"Holborn Circus, Holborn",-0.108657,51.51795,5,35,40,4,1,66
"Hatton Garden, Holborn",-0.108028,51.518825,1,27,28,1,0,67
"Theobald's Road , Holborn",-0.116688,51.520596,1,25,26,1,0,68
"Euston Road, Euston",-0.134407,51.526236,17,7,24,17,0,69
"Calshot Street , King's Cross",-0.117069,51.53136,11,13,24,10,1,70
"Newgate Street , St. Paul's",-0.09885,51.515418,3,31,34,3,0,71
"Farringdon Lane, Clerkenwell",-0.10834,51.52352,3,13,16,3,0,72
"Old Street Station, St. Luke's",-0.089659,51.52548,0,29,29,0,0,73
"Vauxhall Cross, Vauxhall",-0.124469,51.485917,6,11,17,5,1,74
"Torrens Street, Angel",-0.10548,51.532199,3,16,19,3,0,75
"Longford Street, The Regent's Park",-0.144083,51.525595,4,17,21,3,1,76
"Russell Square Station, Bloomsbury",-0.124121,51.523418,7,19,26,6,1,77
"Sadlers Sports Centre, Finsbury",-0.099489,51.524868,2,15,17,1,1,78
"Arundel Street, Temple",-0.113855,51.511726,0,18,18,0,0,79
"Webber Street , Southwark",-0.102091,51.500693,31,14,45,30,1,80
"Great Titchfield Street, Fitzrovia",-0.141327,51.520253,0,19,19,0,0,81
"Chancery Lane, Holborn",-0.111257,51.514274,0,15,15,0,0,82
"Panton Street, West End",-0.13151,51.509639,0,21,21,0,0,83
"Breams Buildings, Holborn",-0.111778,51.515937,1,24,25,1,0,84
"Tanner Street, Bermondsey",-0.0786,51.500647,31,10,41,31,0,85
"Sancroft Street, Vauxhall",-0.115156,51.489479,24,0,24,24,0,86
"Devonshire Square, Liverpool Street",-0.079684,51.516468,0,16,16,0,0,87
"Bayley Street , Bloomsbury",-0.132053,51.518587,0,25,25,0,0,88
"Tavistock Place, Bloomsbury",-0.123509,51.52625,5,14,19,5,0,89
"Harrington Square 1, Camden Town",-0.139174,51.533019,7,20,27,7,0,90
"Walnut Tree Walk, Vauxhall",-0.111014,51.493686,20,0,20,18,2,91
"Borough Road, Elephant & Castle",-0.10044,51.498898,29,12,41,29,0,92
"Cloudesley Road, Angel",-0.109025,51.534408,16,21,37,15,1,93
"Bricklayers Arms, Borough",-0.085814,51.495061,28,0,28,26,2,94
"Aldersgate Street, Barbican",-0.09734,51.520841,1,14,15,1,0,95
"Falkirk Street, Hoxton",-0.078505,51.53095,13,13,26,12,1,96
"Gloucester Road (North), Kensington",-0.183834,51.497924,3,15,18,3,0,97
"Hampstead Road, Euston",-0.138231,51.525542,2,52,54,2,0,98
"Old Quebec Street, Marylebone",-0.158264,51.514577,0,16,16,0,0,99
"Albert Embankment, Vauxhall",-0.122806,51.490435,6,18,24,6,0,100
"Queen Street 1, Bank",-0.09294,51.511553,2,20,22,2,0,101
"Jewry Street, Aldgate",-0.076793,51.513406,0,17,17,0,0,102
"Vicarage Gate, Kensington",-0.192538,51.504723,1,17,18,0,1,103
"Crosswall, Tower",-0.077121,51.511594,1,33,34,1,0,104
"Westbourne Grove, Bayswater",-0.19024,51.515529,23,3,26,23,0,105
"Woodstock Street, Mayfair",-0.147301,51.514105,0,21,21,0,0,106
"Finsbury Leisure Centre, St. Luke's",-0.096317,51.526008,13,7,20,13,0,107
"Abbey Orchard Street, Westminster",-0.132102,51.498125,3,26,29,3,0,108
"Soho Square , Soho",-0.132328,51.515631,0,57,57,0,0,109
"Wellington Road, St. John's Wood",-0.172528,51.533043,16,1,17,13,3,110
"Park Lane , Hyde Park",-0.157275,51.510017,4,24,28,3,1,111
"Stonecutter Street, Holborn",-0.10527,51.515809,0,21,21,0,0,112
"Gloucester Road (Central), South Kensington",-0.183289,51.496462,5,14,19,5,0,113
"Park Road (Baker Street), The Regent's Park",-0.158963,51.524517,15,7,22,15,0,114
"Braham Street, Aldgate",-0.073537,51.514233,0,34,34,0,0,115
"Little Argyll Street, West End",-0.141423,51.514499,0,21,21,0,0,116
"Lollard Street, Vauxhall",-0.114934,51.49288,23,2,25,23,0,117
"Rochester Row, Westminster",-0.135478,51.495827,4,9,13,4,0,118
"Bath Street, St. Luke's",-0.090847,51.525893,1,17,18,1,0,119
"The Guildhall, Guildhall",-0.09308,51.515735,1,16,17,1,0,120
"Baker Street, Marylebone",-0.156166,51.518913,0,22,22,0,0,121
"Norton Folgate, Liverpool Street",-0.078869,51.521113,0,23,23,0,0,122
"St. John Street, Finsbury",-0.104724,51.52836,9,9,18,9,0,123
"Eaton Square, Belgravia",-0.150905,51.496544,4,16,20,3,1,124
"Borough High Street, The Borough",-0.094524,51.500694,15,6,21,15,0,125
"Museum of London, Barbican",-0.096496,51.517821,1,51,52,0,1,126
"Wood Street, Guildhall",-0.093885,51.517008,0,17,17,0,0,127
"Emperor's Gate, South Kensington",-0.185296,51.495362,11,11,22,11,0,128
"Golden Square, Soho",-0.137043,51.511897,0,18,18,0,0,129
"Tower Gardens , Tower",-0.075459,51.509506,6,18,24,6,0,130
"Eversholt Street , Camden Town",-0.136792,51.533005,10,6,16,10,0,131
"Bethnal Green Road, Shoreditch",-0.074754,51.523648,11,27,38,11,0,132
"Derry Street, Kensington",-0.191462,51.501364,11,7,18,11,0,133
"Wapping High Street, Wapping",-0.06797,51.504904,10,10,20,9,1,134
"Clerkenwell Green, Clerkenwell",-0.104708,51.52326,1,20,21,1,0,135
"Queen Victoria Street, St. Paul's",-0.097441,51.511961,2,30,32,1,1,136
"Green Street, Mayfair",-0.157436,51.512276,0,19,19,0,0,138
"Lambeth Road, Vauxhall",-0.117974,51.494881,8,10,18,7,1,139
"Finsbury Square , Moorgate",-0.085634,51.520962,1,32,33,1,0,140
"Chapel Place, Marylebone",-0.147203,51.515308,1,28,29,1,0,141
"West Cromwell Road, Earl's Court",-0.198286,51.493724,17,7,24,17,0,142
"Pont Street, Knightsbridge",-0.161203,51.496886,2,22,24,2,0,143
"Kennington Cross, Kennington",-0.111435,51.48894,47,0,47,46,1,144
"Ilchester Place, Kensington",-0.202759,51.500743,3,21,24,3,0,145
"Vauxhall Bridge , Pimlico",-0.129361,51.488365,4,31,35,3,1,146
"Portugal Street, Holborn",-0.116146,51.514943,0,16,16,0,0,147
"Tachbrook Street, Victoria",-0.138364,51.492111,14,2,16,13,1,148
"Kennington Road Post Office, Oval",-0.110683,51.484788,17,1,18,14,3,149
"Holy Trinity Brompton, Knightsbridge",-0.168917,51.497056,17,11,28,17,0,150
"Chepstow Villas, Notting Hill",-0.201554,51.512136,14,12,26,14,0,151
"Hampton Street, Walworth",-0.101536,51.49217,19,2,21,19,0,152
"Bayswater Road, Hyde Park",-0.174411,51.511933,26,1,27,26,0,153
"Waterloo Station 3, Waterloo",-0.112824,51.503791,34,1,35,22,12,154
"Lexham Gardens, Kensington",-0.191933,51.495866,1,18,19,0,1,155
"New Kent Road, The Borough",-0.092921,51.494436,33,0,33,33,0,156
"Wright's Lane, Kensington",-0.193068,51.500397,8,29,37,8,0,157
"Trebovir Road, Earl's Court",-0.19617,51.490853,13,5,18,12,1,158
"Waterloo Place, St. James's",-0.131773,51.506633,0,20,20,0,0,160
"Guildhouse Street, Victoria",-0.141334,51.492345,16,0,16,16,0,161
"Southampton Place, Holborn",-0.121328,51.517606,1,19,20,0,1,162
"Sloane Avenue, Knightsbridge",-0.167894,51.493184,6,21,27,6,0,163
"Cleveland Gardens, Bayswater",-0.183118,51.515607,5,11,16,5,0,164
"Orsett Terrace, Bayswater",-0.183716,51.517932,7,8,15,7,0,165
"Seville Street, Knightsbridge",-0.159237,51.501855,2,25,27,1,1,166
"Eccleston Place, Victoria",-0.147624,51.49395,9,10,19,9,0,167
"Argyll Road, Kensington",-0.195455,51.500401,4,15,19,4,0,168
"Porchester Place, Paddington",-0.165164,51.514746,7,11,18,7,0,169
"Hardwick Street, Clerkenwell",-0.108068,51.527842,16,14,30,16,0,170
"Collingham Gardens, Earl's Court",-0.186753,51.491615,14,0,14,13,1,171
"Sumner Place, South Kensington",-0.173715,51.491211,2,17,19,2,0,172
"Waterloo Road, South Bank",-0.113001,51.50486,10,5,15,8,2,173
"Strand, Strand",-0.115057,51.512582,1,34,35,1,0,174
"Worship Street, Shoreditch",-0.079608,51.521668,0,51,51,0,0,175
"Gloucester Terrace, Bayswater",-0.188098,51.517919,21,2,23,21,0,176
"Ashley Place, Victoria",-0.140947,51.49616,9,16,25,9,0,177
"Warwick Square, Pimlico",-0.141923,51.489856,19,0,19,19,0,178
"North Audley Street, Mayfair",-0.153645,51.512911,0,17,17,0,0,180
"Belgrave Square, Belgravia",-0.152317,51.499412,8,13,21,8,0,181
"Bell Street , Marylebone",-0.165842,51.522029,17,1,18,16,1,182
"Riverlight North, Nine Elms",-0.136123,51.482362,23,1,24,21,2,183
"Portland Place, Marylebone",-0.145211,51.520715,1,33,34,1,0,184
"Alderney Street, Pimlico",-0.140741,51.488057,13,1,14,11,2,185
"South Wharf Road, Paddington",-0.17581,51.517335,2,14,16,2,0,186
"Queen's Gate (South), South Kensington",-0.178433,51.492479,19,6,25,19,0,187
"Nutford Place, Marylebone",-0.164393,51.516517,6,12,18,6,0,188
"Claremont Square, Angel",-0.109914,51.531666,2,16,18,1,1,189
"Rampayne Street, Pimlico",-0.132845,51.489975,20,1,21,19,1,190
"Hyde Park Corner, Hyde Park",-0.15352,51.503117,2,34,36,1,1,191
"Wardour Street, Soho",-0.133201,51.512515,0,16,16,0,0,192
"Bankside Mix, Bankside",-0.100186,51.505817,26,34,60,26,0,193
"Hop Exchange, The Borough",-0.091773,51.504627,23,9,32,23,0,194
"Milroy Walk, South Bank",-0.106237,51.507244,11,19,30,11,0,195
"Union Street, The Borough",-0.098497,51.503688,9,8,17,8,1,196
"Stamford Street, South Bank",-0.111606,51.505569,26,1,27,26,0,197
"Great Tower Street, Monument",-0.082989,51.510484,0,24,24,0,0,199
"LMU Commercial Road, Whitechapel",-0.066078,51.514924,13,1,14,12,1,200
"Dorset Square, Marylebone",-0.161113,51.522596,14,2,16,13,1,201
"Leman Street, Aldgate",-0.069542,51.512363,31,6,37,29,2,202
"West Smithfield Rotunda, Farringdon",-0.100791,51.518218,1,14,15,1,0,203
"Margery Street, Clerkenwell",-0.112432,51.526599,8,11,19,8,0,204
"New Road 1 , Whitechapel",-0.062697,51.518154,8,28,36,5,3,206
"Grosvenor Crescent, Belgravia",-0.153194,51.501352,5,13,18,5,0,207
"Mallory Street, Marylebone",-0.166304,51.525051,5,15,20,5,0,208
"Denyer Street, Knightsbridge",-0.165101,51.493583,6,24,30,6,0,209
"Hinde Street, Marylebone",-0.151926,51.516814,1,20,21,1,0,210
"Cadogan Place, Knightsbridge",-0.158105,51.494645,4,30,34,4,0,211
"Campden Hill Road, Notting Hill",-0.199004,51.506584,2,15,17,1,1,212
"Wellington Arch, Hyde Park",-0.149569,51.50274,5,31,36,5,0,213
"Endsleigh Gardens, Euston",-0.130504,51.526838,29,3,32,29,0,214
"Moorfields, Moorgate",-0.088285,51.519069,1,53,54,1,0,215
"Old Brompton Road, South Kensington",-0.18119,51.490945,16,14,30,15,1,216
"Wormwood Street, Liverpool Street",-0.082422,51.516154,1,15,16,1,0,217
"St. Luke's Church, Chelsea",-0.170194,51.489716,1,19,20,0,1,218
"Bramham Gardens, Earl's Court",-0.190393,51.490163,29,0,29,28,1,219
"Chelsea Green, Chelsea",-0.166485,51.490664,13,2,15,13,0,220
"Horseferry Road, Westminster",-0.130458,51.494816,11,5,16,11,0,221
"Knightsbridge, Hyde Park",-0.155349,51.502757,1,42,43,1,0,222
"Rodney Road , Walworth",-0.09022,51.491484,23,1,24,23,0,223
"Queensway, Kensington Gardens",-0.187402,51.51031,6,11,17,6,0,224
"Notting Hill Gate Station, Notting Hill",-0.196422,51.509353,1,29,30,1,0,225
"Charles II Street, West End",-0.131961,51.508446,0,24,24,0,0,226
"Great Percy Street, Clerkenwell",-0.11548,51.528915,16,7,23,15,1,227
"St. James's Square, St. James's",-0.134621,51.507424,4,36,40,3,1,228
"Whitehall Place, Strand",-0.123179,51.506543,17,29,46,17,0,229
"Poured Lines, Bankside",-0.103137,51.506692,18,13,31,18,0,230
"Queen's Gate (Central), South Kensington",-0.178732,51.493967,7,24,31,7,0,231
"Carey Street, Holborn",-0.112753,51.51501,0,16,16,0,0,232
"Pall Mall East, West End",-0.130699,51.50777,5,17,22,5,0,233
"Liverpool Road (N1 Centre), Angel",-0.106992,51.534504,14,10,24,11,3,234
"Kennington Road  , Vauxhall",-0.110889,51.495718,9,27,36,8,1,235
"Fashion Street, Whitechapel",-0.073438,51.51838,12,18,30,12,0,236
"Dock Street, Wapping",-0.068161,51.509786,25,5,30,25,0,237
"Frampton Street, Paddington",-0.175116,51.523353,20,12,32,19,1,238
"Warren Street Station, Euston",-0.138019,51.524438,0,26,26,0,0,239
"Beaumont Street, Marylebone",-0.151359,51.522008,2,21,23,1,1,242
"Gloucester Street, Pimlico",-0.139625,51.490962,24,1,25,22,2,243
"Earnshaw Street , Covent Garden",-0.128585,51.516118,2,16,18,0,2,244
"Grosvenor Road, Pimlico",-0.142207,51.485357,19,10,29,17,2,245
"Berry Street, Clerkenwell",-0.099994,51.522853,3,38,41,2,1,246
"St. John's Wood Church, The Regent's Park",-0.167515,51.530529,1,49,50,1,0,247
"Triangle Car Park, Hyde Park",-0.170279,51.506451,5,22,27,4,1,248
"Harper Road, The Borough",-0.096191,51.498597,35,7,42,34,1,249
"Royal Avenue 1, Chelsea",-0.162727,51.489932,9,1,10,9,0,250
"Brushfield Street, Liverpool Street",-0.079249,51.518908,3,31,34,3,0,251
"Shoreditch Park, Hoxton",-0.086379,51.534042,30,0,30,29,1,253
"Chadwell Street, Angel",-0.106408,51.530515,14,4,18,14,0,254
"Clifton Road, Maida Vale",-0.179592,51.525575,22,0,22,19,3,255
"Houghton Street, Strand",-0.116764,51.51362,1,14,15,1,0,256
"Westminster University, Marylebone",-0.154907,51.522481,4,12,16,3,1,257
"Kensington Gore, Knightsbridge",-0.178656,51.501432,0,23,23,0,0,258
"Bourne Street, Belgravia",-0.153233,51.490959,4,12,16,4,0,259
"Broadwick Street, Soho",-0.13558,51.513684,0,18,18,0,0,260
"Princes Square, Bayswater",-0.191351,51.513489,16,0,16,16,0,261
"LSBU (Borough Road), Elephant & Castle",-0.103132,51.498744,12,23,35,12,0,262
"St. Mary Axe, Aldgate",-0.08066,51.514225,1,20,21,1,0,263
"Tysoe Street, Clerkenwell",-0.109256,51.526443,17,3,20,16,1,264
"Southwick Street, Paddington",-0.169249,51.515953,14,3,17,14,0,265
"Queen's Gate (North), Kensington",-0.180246,51.501026,0,41,41,0,0,266
"Regency Street, Westminster",-0.132224,51.49206,10,12,22,10,0,267
"Belgrave Road, Victoria",-0.144132,51.493204,13,16,29,13,0,268
"Empire Square, The Borough",-0.08974,51.500823,37,9,46,36,1,269
"Kennington Lane Rail Bridge, Vauxhall",-0.122492,51.486343,24,7,31,23,1,270
"London Zoo,  The Regent's Park",-0.156285,51.535836,27,5,32,27,0,271
"Baylis Road, Waterloo",-0.110699,51.501444,11,11,22,11,0,272
"Belvedere Road 1, South Bank",-0.114686,51.506133,30,8,38,29,1,273
"Warwick Road, Olympia",-0.205284,51.496712,33,3,36,32,1,274
"Barbican Centre, Barbican",-0.092176,51.520044,0,19,19,0,0,275
"Lower Thames Street, Monument",-0.084985,51.509301,0,24,24,0,0,276
"Kensington Church Street, Kensington",-0.191496,51.503157,10,7,17,9,1,277
